District,former_german_partition,former_russian_partition,former_ah_partition,distance_to_german_border,distance_to_russian_border,distance_to_AH_border
ZALESZCZYCKI,False,False,True,515.906445113338,110.37255494771206,110.37255494771206
ZAMOJSKI,False,True,False,282.62750198042545,33.36494912336581,33.36494912336581
ZAWIERCIAŃSKI,False,True,False,14.670062156948003,14.670062156948003,32.68267314630143
ZBARASKI,False,False,True,495.9471958166936,10.176078242047831,10.176078242047831
ZBOROWSKI,False,False,True,445.98399402223976,26.57737902399574,26.57737902399574
ZDOŁBUNOWSKI,False,True,False,503.77761280118943,71.18312479227241,71.18312479227241
ZŁOCZOWSKI,False,False,True,415.7120289356494,39.16980337383387,39.16980337383387
ŁASKI,False,True,False,69.08832474615649,69.08832474615649,137.36353724130603
ŁAŃCUCKI,False,False,True,233.0767718604192,21.514211673922556,21.514211673922556
ŁOMŻYŃSKI,False,True,False,99.09421266256652,99.09421266256652,273.29346186356827
ŁOWICKI,False,True,False,110.08903173376987,110.08903173376987,205.8326418457227
ŁUCKI,False,True,False,419.6882239745193,69.17815276203532,69.17815276203532
ŁUKOWSKI,False,True,False,190.6516322638721,127.68128000319932,127.68128000319932
ŁUNINIECKI,False,True,False,422.70651752056773,270.2085709756046,270.2085709756046
ŁÓDZKI,False,True,False,94.27901304338832,94.27901304338832,163.14402120609117
ŁÓDŹ (MIASTO),False,True,False,95.86285080753531,95.86285080753531,166.03876001737083
ŁĘCZYCKI,False,True,False,78.3084232657121,78.3084232657121,192.954131023487
ŚNIATYŃSKI,False,False,True,509.89958528812366,147.04937648713366,147.04937648713366
ŚREDZKI,True,False,False,35.35664690798248,35.35664690798248,249.0951720320463
ŚREMSKI,True,False,False,45.11269728935469,45.11269728935469,245.73107252856627
ŚRÓDMIEJSKO-WARSZAWSKI,False,True,False,109.44500276749226,109.44500276749226,178.29286577187918
ŚWIECKI,True,False,False,63.49401918112331,63.49401918112331,360.10540492814334
ŚWIĘCIAŃSKI,False,True,False,414.5202456236875,414.5202456236875,514.8261451228695
ŚWIĘTOCHŁOWICKI,True,False,False,8.63465768141032,6.533731362681818,6.533731362681818
ŻNIŃSKI,True,False,False,52.097241782824845,52.097241782824845,292.3194860332979
ŻYDACZOWSKI,False,False,True,382.68246197310805,114.05156431153218,114.05156431153218
ŻYWIECKI,False,False,True,72.93898815555525,68.988338139986,68.988338139986
ŻÓŁKIEWSKI,False,False,True,354.9129470294762,48.03775877515072,48.03775877515072
